公告,#genre#
CCTV2,http://221.232.41.227:8888/rtp/239.69.1.102:10250$LR•IPV4『线路32』
CCTV2,http://114.248.6.123:8888/rtp/239.3.1.60:8084$LR•IPV4『线路33』
CCTV2,http://117.86.48.47:7777/rtp/239.49.8.50:9802$LR•IPV4『线路34』
CCTV2,http://183.164.237.101:8888/rtp/238.1.78.235:7752$LR•IPV4『线路35』
CCTV3,http://60.176.87.174:8888/rtp/233.50.201.196:5140$LR•IPV4『线路1』
CCTV3,http://114.238.59.115:4000/rtp/239.49.8.74:8000$LR•IPV4『线路2』
CCTV3,http://113.66.40.167:10000/rtp/239.77.0.169:5146$LR•IPV4『线路3』
CCTV3,http://113.66.40.167:10000/rtp/239.77.1.7:5146$LR•IPV4『线路4』
CCTV3,http://112.66.99.188:8888/rtp/239.253.64.244:5140$LR•IPV4『线路5』
CCTV3,http://119.135.192.194:10000/rtp/239.77.0.169:5146$LR•IPV4『线路6』
CCTV3,http://119.135.192.194:10000/rtp/239.77.1.7:5146$LR•IPV4『线路7』
CCTV3,http://183.30.201.5:10002/rtp/239.77.0.169:5146$LR•IPV4『线路8』
CCTV3,http://183.30.201.5:10002/rtp/239.77.1.7:5146$LR•IPV4『线路9』
CCTV3,http://115.171.216.84:4000/rtp/225.1.8.88:8000$LR•IPV4『线路10』
CCTV3,http://113.17.153.30:8001/rtp/239.81.0.231:4056$LR•IPV4『线路11』
CCTV3,http://222.95.12.2:4022/rtp/239.49.8.74:8000$LR•IPV4『线路12』
CCTV3,http://115.45.243.189:8888/rtp/239.77.0.169:5146$LR•IPV4『线路13』
CCTV3,http://115.45.243.189:8888/rtp/239.77.1.7:5146$LR•IPV4『线路14』
CCTV3,http://220.190.84.171:8888/rtp/233.50.201.196:5140$LR•IPV4『线路15』
CCTV3,http://183.30.202.6:8000/rtp/239.77.0.169:5146$LR•IPV4『线路16』
CCTV3,http://183.30.202.6:8000/rtp/239.77.1.7:5146$LR•IPV4『线路17』
CCTV3,http://180.111.29.214:8888/rtp/239.49.8.74:8000$LR•IPV4『线路18』
CCTV3,http://180.127.133.148:4000/rtp/239.49.8.74:8000$LR•IPV4『线路19』
CCTV3,http://112.226.103.48:4000/rtp/239.253.254.191:8000$LR•IPV4『线路20』
CCTV3,http://39.77.22.208:4001/rtp/239.253.254.191:8000$LR•IPV4『线路21』
CCTV3,http://223.93.142.35:4022/rtp/233.50.201.196:5140$LR•IPV4『线路22』
CCTV3,http://171.119.207.208:6000/rtp/226.0.2.208:9576$LR•IPV4『线路23』
CCTV3,http://220.176.218.76:9000/rtp/239.252.219.252:5140$LR•IPV4『线路24』
CCTV3,http://59.34.28.21:4022/rtp/239.77.0.169:5146$LR•IPV4『线路25』
CCTV3,http://59.34.28.21:4022/rtp/239.77.1.7:5146$LR•IPV4『线路26』
CCTV3,http://116.9.34.165:4000/rtp/239.81.0.231:4056$LR•IPV4『线路27』
CCTV3,http://180.114.117.42:8333/rtp/239.49.8.74:8000$LR•IPV4『线路28』
